SEMESTER,MJD START,MJD END,PROGRAM,PI
2001A,52102.166666666664,52102.666666666664,2001A083,Vacca
2001A,52103.166666666664,52103.666666666664,2001A083,Vacca
2001A,52104.166666666664,52104.415972222225,2001A033,Glenar
2001A,52104.415972222225,52104.666666666664,2001A998,Mumma
2001A,52105.166666666664,52105.415972222225,2001A033,Glenar
2001A,52105.415972222225,52105.666666666664,2001A998,Mumma
2001A,52106.166666666664,52106.291666666664,2001A999,Engineering
2001A,52106.291666666664,52106.415972222225,2001A033,Glenar
2001A,52106.415972222225,52106.666666666664,2001A998,Mumma
2001A,52107.166666666664,52107.666666666664,2001A999,Engineering
2001A,52108.166666666664,52108.666666666664,2001A093,Ressler
2001A,52109.166666666664,52109.666666666664,2001A093,Ressler
2001A,52110.166666666664,52110.666666666664,2001A093,Ressler
2001A,52111.166666666664,52111.666666666664,2001A080,Gehrz
2001A,52112.166666666664,52112.666666666664,2001A080,Gehrz
2001A,52113.166666666664,52113.666666666664,2001A080,Gehrz
2001A,52114.166666666664,52114.666666666664,2001A080,Gehrz
2001A,52115.25,52115.75,2001A086,Carey
2001A,52116.25,52116.75,2001A086,Carey
2001A,52117.25,52117.75,2001A086,Carey
2001A,52118.166666666664,52118.666666666664,2001A107,Forrest
