SEMESTER,MJD START,MJD END,PI,PROGRAM
2001B,52144.59722,52144.625,Rathbun,2001B101
2001B,52145.16667,52145.66667,Smith,2001B053
2001B,52146.16667,52146.66667,Smith,2001B053
2001B,52147.16667,52147.66667,Clayton,2001B083
2001B,52148.16667,52148.66667,Clayton,2001B083
2001B,52149.16667,52149.29167,Engineering,2001B999
2001B,52149.29167,52149.375,Krasnopolsky,2001B994
2001B,52149.375,52149.625,Engineering,2001B999
2001B,52150.16667,52150.29167,Engineering,2001B999
2001B,52150.29167,52150.375,Krasnopolsky,2001B994
2001B,52150.375,52150.625,Engineering,2001B999
2001B,52150.625,52150.64583,Rathbun,2001B101
2001B,52150.64583,52150.66667,Orton,2001B001
2001B,52151.16667,52151.66667,Rayner,2001B089
2001B,52151.625,52151.64583,Rathbun,2001B101
2001B,52151.64583,52151.66667,Orton,2001B001
2001B,52152.16667,52152.66667,Rayner,2001B089
2001B,52153.16667,52153.66667,Encrenaz,2001B026
2001B,52154.16667,52154.66667,Encrenaz,2001B026
2001B,52155.16667,52155.66667,Joseph,2001B105
2001B,52156.16667,52156.66667,Joseph,2001B105
2001B,52157.16667,52157.66667,Muzerolle,2001B065
2001B,52158.16667,52158.66667,Muzerolle,2001B065
2001B,52159.16667,52159.66667,Muzerolle,2001B065
2001B,52160.16667,52160.66667,Balachandran,2001B020
2001B,52161.16667,52161.66667,Balachandran,2001B020
2001B,52162.16667,52162.66667,Balachandran,2001B020
